"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Listing Preview","0","Report Listing Preview","20","0","","0"
"0","Listing Preview","1","Creditor Listing Preview","11","0","","0"
"0","Specific Listing Preview","1","Creditor Listing Preview","3","0","","0"
"2","Listing Preview","0","Reports Listing Preview","7","0","","0"
"2","Specific Listing Preview","0","Reports Listing Preview","7","0","","0"
"0","Listing Preview","0","Debtor Listing Preview","9","0","","0"
"0","Listing Preview","0","Tables Listing Preview","30","0","","0"
"0","Specific Listing Preview","0","Tables Listing Preview","10","0","","0"
"0","Specific Listing Preview","0","Debtor Listing Preview","3","0","","0"
"0","ORM Integration","0","","7","0","","0"
"0","Listing Preview","0","Quote Listing Preview","6","0","","0"
"0","Auth-Setup","0","CSR","1","0","","0"
"0","Specific Listing Preview","0","Quote Listing Preview","2","0","","0"
"0","","0","","1","1","","0"
"1","Quotes","0","Quote Creation","0","0","New Customer","0"
"0","Listing Preview","0","Admin Listing Preview","4","0","","0"
